Episode,Total Reward,Epsilon,Time (s)
733,-0.9,0.01,252.9
734,-9.0,0.01,253.0
735,-8.5,0.01,253.2
736,-8.0,0.01,253.4
737,-8.2,0.01,253.6
738,-7.3,0.01,253.9
739,-8.4,0.01,254.1
740,-9.1,0.01,254.2
741,-8.1,0.01,254.4
742,-9.1,0.01,254.5
743,-5.7,0.01,254.9
744,-9.1,0.01,255.0
745,-8.8,0.01,255.2
746,-8.7,0.01,255.3
747,-9.1,0.01,255.4
748,-8.4,0.01,255.6
749,-9.0,0.01,255.7
750,1.2,0.01,255.9
751,-6.3,0.01,256.3
752,-8.1,0.01,256.5
753,-7.5,0.01,256.7
754,-8.2,0.01,256.9
755,-9.1,0.01,257.0
756,-6.8,0.01,257.4
757,-8.7,0.01,257.5
758,-9.1,0.01,257.6
759,-8.2,0.01,257.8
760,-9.1,0.01,257.9
761,-9.1,0.01,258.0
762,-8.7,0.01,258.2
763,-9.1,0.01,258.3
764,-9.0,0.01,258.4
765,-3.8,0.01,259.1
766,-7.5,0.01,259.3
767,-6.2,0.01,259.7
768,-6.4,0.01,260.1
769,-6.3,0.01,260.5
770,-9.1,0.01,260.6
771,-6.9,0.01,260.9
772,-7.8,0.01,261.2
773,-7.0,0.01,261.5
774,-8.2,0.01,261.7
775,-6.5,0.01,262.1
776,-7.9,0.01,262.3
777,-8.0,0.01,262.5
778,-6.9,0.01,262.9
779,-8.2,0.01,263.1
780,-7.1,0.01,263.4
781,-7.6,0.01,263.6
782,-9.1,0.01,263.7
783,-7.2,0.01,264.1
784,-5.4,0.01,264.5
785,-9.1,0.01,264.6
786,-9.1,0.01,264.7
787,-9.1,0.01,264.9
788,3.9,0.01,265.3
789,-6.7,0.01,265.6
790,2.9,0.01,266.0
791,-8.2,0.01,266.2
792,-8.1,0.01,266.4
793,-8.8,0.01,266.5
794,0.8,0.01,266.6
795,-8.3,0.01,266.8
796,-2.7,0.01,267.6
797,1.9,0.01,268.8
798,-7.1,0.01,269.1
799,-9.1,0.01,269.2
800,-9.1,0.01,269.3
801,-9.1,0.01,269.4
802,-9.1,0.01,269.5
803,-7.3,0.01,269.8
804,-7.5,0.01,270.1
805,-8.7,0.01,270.2
806,2.3,0.01,270.5
807,-9.0,0.01,270.6
808,-9.1,0.01,270.7
809,-9.1,0.01,270.8
810,1.5,0.01,271.0
811,-8.7,0.01,271.2
812,-7.4,0.01,271.4
813,-9.0,0.01,271.6
814,-9.0,0.01,271.7
815,-8.9,0.01,271.8
816,12.1,0.01,272.1
817,-5.6,0.01,272.5
818,-9.1,0.01,272.6
819,-6.3,0.01,273.0
820,-8.8,0.01,273.2
821,-8.6,0.01,273.3
822,-8.5,0.01,273.5
823,-9.1,0.01,273.6
824,-8.9,0.01,273.7
825,-9.1,0.01,273.8
826,-9.0,0.01,273.9
827,-9.1,0.01,274.1
828,-7.1,0.01,274.4
829,-8.8,0.01,274.5
830,-7.7,0.01,274.7
831,-8.9,0.01,274.9
832,-9.1,0.01,275.0
833,-7.9,0.01,275.2
834,-9.0,0.01,275.3
835,-9.1,0.01,275.4
836,-8.6,0.01,275.6
837,-9.0,0.01,275.7
838,-8.1,0.01,275.9
839,-8.7,0.01,276.1
840,-7.0,0.01,276.4
841,-9.1,0.01,276.5
842,-8.9,0.01,276.6
843,-9.1,0.01,276.7
844,-8.8,0.01,276.8
845,-8.6,0.01,277.0
846,-9.1,0.01,277.1
847,-8.9,0.01,277.2
848,-8.0,0.01,277.5
849,-8.5,0.01,277.6
850,-9.0,0.01,277.7
851,-9.0,0.01,277.9
